LogQ(1),age(2),Tot[O]+12(3),gas[O]+12(4),Tot[Fe](5),gas[Fe](6),LogP/k(7),[NII]/Ha(8),[NII]+/Ha(9),[SII]+/Ha(10),[NII]/[OII]+(11),[NII]+/[OII]+(12),[NII]/[SII]+(13),[NII]+/[SII]+(14),[OII]+/Hb(15),[OIII]/Hb(16),[OIII]+/Hb(17),[OIII]/[OII]+(18),[OIII]+/[OII]+(19),[OIII]/[SII]+(20),[OIII]+/[SII]+(21),4363/[OIII](22),4363/[OIII]+(23),[OI]/[OII]+(24),[OII]+/[SII]+(25),R23(26),S23(27),6716/6731(28),3729/3726(29),Hbeta_abs(30),HBeta(31),Rout(32),Rmax(33),Remp(34),[NII]+/Hb(35),Ha/Hb(36)
 6.5000, 100.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4684, -0.3413, -0.4771, -0.5975, -0.4704,  0.0087,  0.1358,  0.5905, -1.4684, -1.3394, -2.0589, -1.9298, -1.4527, -1.3237,    -inf,    -inf, -1.3705,  0.6062,  0.5956,  0.1492,  0.1429,  0.1424, 22769846134572967621510037504.0000, 1612890000000000030837163308166938624.0000, 900000000000000.0000, 42310000000000000000.0000, 42040000000000000000.0000,  0.1201,  0.4614
 6.5000, 100.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2654, -0.1384, -0.2481, -0.5312, -0.4042, -0.0173,  0.1098,  0.7259, -1.2859, -1.1569, -2.0119, -1.8828, -1.4980, -1.3689,    -inf,    -inf, -1.3294,  0.5139,  0.7316,  0.3676,  0.1414,  0.1397, 16646153402010266339001761792.0000, 1175349999999999966324860274165678080.0000, 866666666666666.6250, 36220000000000000000.0000, 35960000000000000000.0000,  0.3218,  0.4601
 6.5000, 100.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.1374, -0.0103, -0.1106, -0.3527, -0.2256, -0.0268,  0.1003,  0.6809, -1.3842, -1.2552, -2.0651, -1.9361, -1.7392, -1.6102,    -inf,    -inf, -1.2366,  0.3259,  0.6859,  0.5241,  0.1361,  0.1318, 19686332273819673287559479296.0000, 1392519999999999931337475552547176448.0000, 900000000000000.0000, 39420000000000000000.0000, 39150000000000000000.0000,  0.4553,  0.4656
 6.5000, 100.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.1894, -0.0623, -0.1279, -0.1206,  0.0065, -0.0615,  0.0656,  0.4055, -1.5661, -1.4371, -1.9717, -1.8426, -1.9126, -1.7835,    -inf,    -inf, -1.1011,  0.0591,  0.4117,  0.5201,  0.1274,  0.1200, 18335198902606308885340880896.0000, 1295990000000000063245290393953107968.0000, 900000000000000.0000, 38050000000000000000.0000, 37780000000000000000.0000,  0.4120,  0.4743
 7.0000,  1.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0461, -0.9190, -1.2193, -0.7615, -0.6344,  0.1732,  0.3003,  0.1836, -0.5516, -0.4226, -0.7352, -0.6062,  0.1995,  0.3285, -1.8339, -1.9629, -1.6255,  0.9347,  0.2797, -0.4149,  0.1446,  0.1459, 27672593515148468199593345024.0000, 62088799999999996585321419366413107200.0000, 2666666666666666.5000, 146500000000000000000.0000, 145700000000000000000.0000, -0.4508,  0.4682
 7.0000,  1.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4870, -0.3599, -0.6830, -0.7073, -0.5802,  0.1960,  0.3231,  0.6805, -0.1621, -0.0331, -0.8426, -0.7136,  0.0607,  0.1897, -1.9520, -2.0811, -1.6484,  0.9033,  0.7573,  0.1190,  0.1435,  0.1439, 26634696069546537467470938112.0000, 59752899999999996776612319035150827520.0000, 2666666666666666.5000, 145500000000000000000.0000, 144700000000000000000.0000,  0.1003,  0.4602
 7.0000,  1.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2882, -0.1611, -0.4875, -0.6176, -0.4905,  0.1993,  0.3264,  0.7879, -0.1807, -0.0516, -0.9685, -0.8395, -0.1516, -0.0226, -2.1390, -2.2680, -1.6328,  0.8169,  0.8466,  0.3094,  0.1415,  0.1403, 25569468127562308970218520576.0000, 57346800000000001553088020344825970688.0000, 2666666666666666.5000, 143200000000000000000.0000, 142400000000000000000.0000,  0.2973,  0.4584
 7.0000,  1.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.2207, -0.0936, -0.4015, -0.3707, -0.2436,  0.1808,  0.3079,  0.6163, -0.7282, -0.5991, -1.3445, -1.2154, -0.7930, -0.6639,    -inf,    -inf, -1.5957,  0.5515,  0.6420,  0.3982,  0.1336,  0.1290, 22757601783121688528232120320.0000, 50984599999999998739998486684919398400.0000, 2666666666666666.5000, 134900000000000000000.0000, 134100000000000000000.0000,  0.3727,  0.4663
 7.0000,  1.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.3829, -0.2558, -0.4616, -0.0298,  0.0973,  0.0787,  0.2058,  0.1248, -1.8803, -1.7512, -2.0051, -1.8760, -1.8966, -1.7676,    -inf,    -inf, -1.4371,  0.1085,  0.1305,  0.3025,  0.1199,  0.1113, 19338008926131707980055314432.0000, 43250100000000001068743722363816771584.0000, 3000000000000000.0000, 123800000000000000000.0000, 122900000000000000000.0000,  0.2221,  0.4779
 7.0000,  3.2000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0319, -0.9048, -1.2126, -0.7550, -0.6279,  0.1807,  0.3078,  0.1883, -0.6317, -0.5027, -0.8200, -0.6910,  0.1156,  0.2447, -1.8436, -1.9726, -1.6927,  0.9357,  0.2688, -0.4213,  0.1441,  0.1457, 23676882784541875753076129792.0000, 53051100000000003874763699361555677184.0000, 3000000000000000.0000, 135900000000000000000.0000, 135000000000000000000.0000, -0.4396,  0.4652
 7.0000,  3.2000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4917, -0.3646, -0.6804, -0.6938, -0.5667,  0.1887,  0.3158,  0.6609, -0.2672, -0.1381, -0.9280, -0.7990, -0.0456,  0.0835, -1.9796, -2.1086, -1.7011,  0.8825,  0.7249,  0.1036,  0.1428,  0.1433, 19160139947843912497855725568.0000, 42850100000000001228864210521821282304.0000, 3000000000000000.0000, 123500000000000000000.0000, 122600000000000000000.0000,  0.0942,  0.4588
 7.0000,  3.2000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.3140, -0.1869, -0.4824, -0.5968, -0.4698,  0.1684,  0.2955,  0.7415, -0.2820, -0.1530, -1.0235, -0.8945, -0.2583, -0.1293, -2.1845, -2.3135, -1.6613,  0.7652,  0.7937,  0.2871,  0.1406,  0.1394, 15588397725954288120431116288.0000, 34786099999999998790053472343617961984.0000, 3000000000000000.0000, 111700000000000000000.0000, 110800000000000000000.0000,  0.2718,  0.4587
 7.0000,  3.2000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.2744, -0.1473, -0.3720, -0.3289, -0.2019,  0.0976,  0.2247,  0.5223, -0.7617, -0.6327, -1.2840, -1.1550, -0.8575, -0.7284,    -inf,    -inf, -1.5996,  0.4265,  0.5516,  0.3645,  0.1319,  0.1271, 11334028194519017389119504384.0000, 25190900000000001875445105018686930944.0000, 2800000000000000.0000, 94910000000000000000.0000, 94070000000000000000.0000,  0.3204,  0.4677
 7.0000,  3.2000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.4630, -0.3359, -0.4676,  0.0192,  0.1463,  0.0046,  0.1317, -0.0027, -1.4594, -1.3303, -1.4567, -1.3277, -1.4713, -1.3422,    -inf,    -inf, -1.3916, -0.0146,  0.0173,  0.2481,  0.1173,  0.1082, 8155278883878042146590162944.0000, 18037899999999999898374089562816249856.0000, 2833333333333333.5000, 80360000000000000000.0000, 79510000000000000000.0000,  0.1436,  0.4795
 7.0000, 10.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0472, -0.9202, -1.2034, -0.7572, -0.6302,  0.1561,  0.2832,  0.1765, -0.5610, -0.4320, -0.7375, -0.6084,  0.1759,  0.3049, -1.8426, -1.9717, -1.6442,  0.9133,  0.2721, -0.4156,  0.1443,  0.1458, 8931606303110303969089421312.0000, 19776700000000000571816607572167753728.0000, 2800000000000000.0000, 83220000000000000000.0000, 82380000000000000000.0000, -0.4537,  0.4665
 7.0000, 10.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4946, -0.3676, -0.6789, -0.6986, -0.5715,  0.1842,  0.3113,  0.6633, -0.2130, -0.0839, -0.8762, -0.7472,  0.0065,  0.1356, -1.9743, -2.1033, -1.6698,  0.8828,  0.7348,  0.1095,  0.1431,  0.1435, 5511930714991312637622484992.0000, 12107800000000000418671512100936876032.0000, 2800000000000000.0000, 66020000000000000000.0000, 65180000000000000000.0000,  0.0918,  0.4594
 7.0000, 10.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2942, -0.1671, -0.4366, -0.6473, -0.5203,  0.1424,  0.2695,  0.8128,  0.1170,  0.2461, -0.6958, -0.5667,  0.0940,  0.2230, -2.1026, -2.2316, -1.5021,  0.7897,  0.9170,  0.3542,  0.1428,  0.1416, 3885012875536480276683161600.0000, 8472650000000000274124847347769802752.0000, 2766666666666666.5000, 55580000000000000000.0000, 54750000000000000000.0000,  0.2925,  0.4597
 7.0000, 10.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.0975,  0.0296, -0.2238, -0.5018, -0.3747,  0.1263,  0.2534,  0.8668,  0.1857,  0.3147, -0.6811, -0.5520, -0.0530,  0.0761, -2.4255, -2.5545, -1.3418,  0.6281,  0.9741,  0.5770,  0.1401,  0.1360, 3180061466305746177609433088.0000, 6904029999999999799372773933730234368.0000, 2800000000000000.0000, 50590000000000000000.0000, 49750000000000000000.0000,  0.4920,  0.4624
 7.0000, 10.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.0386,  0.0884, -0.1416, -0.3385, -0.2114,  0.1029,  0.2300,  0.7682,  0.1267,  0.2557, -0.6416, -0.5125, -0.2001, -0.0711, -2.7738, -2.9028, -1.2071,  0.4414,  0.8846,  0.6738,  0.1355,  0.1289, 2592270106844853111592321024.0000, 5600339999999999573926976036381130752.0000, 2800000000000000.0000, 46080000000000000000.0000, 45240000000000000000.0000,  0.5568,  0.4684
 7.0000, 32.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0621, -0.9351, -1.2136, -0.7607, -0.6336,  0.1515,  0.2786,  0.1704, -0.4855, -0.3565, -0.6559, -0.5269,  0.2562,  0.3853, -1.8275, -1.9565, -1.5460,  0.9122,  0.2834, -0.4072,  0.1450,  0.1461, 1494593563159903370154606592.0000, 3163499999999999855209128961922564096.0000, 2766666666666666.5000, 33580000000000000000.0000, 32750000000000000000.0000, -0.4632,  0.4719
 7.0000, 32.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4823, -0.3552, -0.6835, -0.7106, -0.5835,  0.2012,  0.3283,  0.6886, -0.2022, -0.0731, -0.8908, -0.7617,  0.0210,  0.1500, -1.9473, -2.0764, -1.6549,  0.9118,  0.7579,  0.1197,  0.1434,  0.1439, 1285494648205944453010030592.0000, 2708189999999999840311476960167460864.0000, 2766666666666666.5000, 31610000000000000000.0000, 30780000000000000000.0000,  0.1051,  0.4603
 7.0000, 32.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2683, -0.1413, -0.4577, -0.6512, -0.5241,  0.1893,  0.3164,  0.8417, -0.0043,  0.1248, -0.8460, -0.7170, -0.0055,  0.1235, -2.0820, -2.2111, -1.5655,  0.8405,  0.9180,  0.3494,  0.1426,  0.1416, 1296430340368957390372995072.0000, 2733220000000000268291428699839922176.0000, 2766666666666666.5000, 31900000000000000000.0000, 31070000000000000000.0000,  0.3177,  0.4589
 7.0000, 32.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.0818,  0.0453, -0.2751, -0.5028, -0.3757,  0.1934,  0.3204,  0.8830, -0.0306,  0.0984, -0.9136, -0.7846, -0.2175, -0.0884, -2.3991, -2.5281, -1.4672,  0.6961,  0.9490,  0.5555,  0.1389,  0.1351, 1299079054072948486395920384.0000, 2740029999999999931457948725922496512.0000, 2766666666666666.5000, 32080000000000000000.0000, 31250000000000000000.0000,  0.5073,  0.4620
 7.0000, 32.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.0843,  0.0428, -0.2522, -0.2892, -0.1621,  0.1680,  0.2950,  0.6746, -0.2289, -0.0999, -0.9035, -0.7745, -0.4464, -0.3174,    -inf,    -inf, -1.3434,  0.4571,  0.7421,  0.5966,  0.1320,  0.1248, 1325171848782911994102546432.0000, 2798260000000000039194078561953644544.0000, 2766666666666666.5000, 32550000000000000000.0000, 31720000000000000000.0000,  0.5125,  0.4697
 7.0000, 100.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0078, -0.8808, -1.2287, -0.7469, -0.6198,  0.2208,  0.3479,  0.2037, -0.7770, -0.6480, -0.9808, -0.8517, -0.0130,  0.1160, -1.8417, -1.9708, -1.7341,  0.9677,  0.2609, -0.4290,  0.1439,  0.1457, 604091822444133318968475648.0000, 1224649999999999958395926315865735168.0000, 2733333333333333.5000, 21330000000000000000.0000, 20510000000000000000.0000, -0.4161,  0.4647
 7.0000, 100.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4576, -0.3305, -0.7049, -0.6830, -0.5559,  0.2473,  0.3744,  0.6839, -0.4973, -0.3682, -1.1811, -1.0521, -0.2509, -0.1218, -1.9683, -2.0973, -1.7632,  0.9303,  0.7208,  0.0952,  0.1425,  0.1433, 775719866243073730309783552.0000, 1596550000000000051545184698030358528.0000, 2733333333333333.5000, 24460000000000000000.0000, 23640000000000000000.0000,  0.1280,  0.4585
