#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    AGN_flag   n_UV_filt   L_2800_sun_obs   L_2800_sun_SED
aegis   09938   1.34590    9.02    0.29    -2.30     0.27   -2.13     6.65000e-17  1.64000e-17      300.000  1.18000e-17  1.45000e-17  3.15000e-17  8.82000e-18      211.000  2.05000e-17  8.54000e-18     -1.00000     -1.00000       0       3  5.84934e+09  6.24562e+09
aegis   10265   1.39730    9.93    1.14    -1.74     0.26   -1.57     1.50000e-16  1.92000e-17      171.000  5.74000e-17  1.86000e-17  1.67000e-16  1.29000e-17      263.000  2.46000e-17  1.04000e-17     -1.00000     -1.00000       0       3  2.96362e+10  3.13421e+10
aegis   10853   1.51890    8.44    0.31    -2.64     0.27   -2.40     8.43000e-17  7.59000e-18      1900.00  1.70000e-18  6.53000e-18  3.52000e-17  5.53000e-18      832.000     -1.00000     -1.00000     -1.00000     -1.00000       0       4  5.71660e+09  6.48342e+09
aegis   11374   1.30300    9.10    0.50    -2.34     0.26   -2.24     1.49000e-16  1.86000e-17      362.000  2.86000e-17  2.08000e-17  7.92000e-17  1.00000e-17      334.000  5.47000e-18  8.55000e-18     -1.00000     -1.00000       0       3  9.18716e+09  1.02135e+10
aegis   11476   1.33840    9.16    0.44    -2.27     0.27   -2.13     1.09000e-16  2.03000e-17      678.000  2.00000e-18  2.05000e-17  5.91000e-17  1.13000e-17      481.000  9.23000e-18  9.88000e-18     -1.00000     -1.00000       0       3  7.79440e+09  8.58163e+09
aegis   11739   1.35510    9.18    0.45    -2.25     0.26   -2.13     6.41000e-17  1.33000e-17      419.000  3.21000e-17  1.26000e-17  5.07000e-17  8.07000e-18      339.000  2.63000e-17  7.39000e-18     -1.00000     -1.00000       0       3  8.68163e+09  9.01551e+09
aegis   11752   1.43870    9.44    0.65    -1.47     0.27   -1.47     2.96000e-17  9.05000e-18      126.000  7.62000e-18  8.11000e-18  3.89000e-17  5.24000e-18      110.000  8.72000e-18  5.95000e-18     -1.00000     -1.00000       0       4  7.29208e+09  7.56030e+09
aegis   12063   1.36050   10.49    0.89    -1.39     0.27   -1.30     6.12000e-17  1.83000e-17      91.8000  4.12000e-17  1.79000e-17  1.29000e-16  1.32000e-17      168.000  4.17000e-17  1.11000e-17     -1.00000     -1.00000       0       3  7.64412e+09  8.63255e+09
aegis   12718   1.36760    8.52    0.45    -2.23     0.27   -1.73     5.87000e-17  1.87000e-17      212.000  1.62000e-17  1.89000e-17  1.51000e-16  1.40000e-17      260.000  4.11000e-17  1.14000e-17     -1.00000     -1.00000       0       3  5.81426e+09  6.97342e+09
aegis   12831   1.46450    8.81    0.50    -1.87     0.28   -1.78     8.20000e-17  1.07000e-17      883.000  4.21000e-17  1.03000e-17  4.93000e-17  6.51000e-18      981.000      0.00000  5.06000e-19     -1.00000     -1.00000       0       4  4.36501e+09  4.71169e+09
aegis   13523   1.35430    9.92    0.84    -1.41     0.26   -1.35     7.12000e-17  1.07000e-17      98.8000  2.40000e-17  9.63000e-18  7.30000e-17  6.21000e-18      151.000  1.25000e-17  5.31000e-18     -1.00000     -1.00000       0       3  1.11081e+10  1.17795e+10
aegis   13567   1.36020    8.94    0.33    -2.28     0.27   -2.24     9.96000e-17  1.44000e-17      580.000  9.92000e-18  1.21000e-17  4.30000e-17  7.13000e-18      265.000      0.00000  4.24000e-19     -1.00000     -1.00000       0       3  6.52345e+09  7.03696e+09
aegis   13647   1.35740    9.07    0.06    -1.90     0.29   -2.13     5.85000e-17  1.48000e-17      603.000      0.00000  9.32000e-19  3.05000e-17  8.00000e-18      275.000  8.36000e-19  7.08000e-18     -1.00000     -1.00000       0       3  3.52195e+09  3.48033e+09
aegis   13656   1.46460    9.15   -0.17    -1.05     0.45   -1.39     1.51000e-17  6.29000e-18      90.1000      0.00000  4.87000e-19  1.81000e-17  3.65000e-18      456.000  6.95000e-18  4.64000e-18     -1.00000     -1.00000       0       4  1.62823e+09  1.45269e+09
aegis   13677   1.35010    8.84    0.09    -1.86     0.30   -1.99     3.16000e-17  7.97000e-18      398.000      0.00000  6.16000e-19  2.13000e-17  3.97000e-18      338.000  1.01000e-17  3.92000e-18     -1.00000     -1.00000       0       3  2.78725e+09  2.82314e+09
aegis   14339   1.32800    8.59   -0.13    -2.07     0.30   -2.14     7.13000e-17  1.16000e-17      581.000  7.47000e-18  1.05000e-17  3.56000e-17  5.61000e-18      1140.00  9.88000e-18  5.10000e-18     -1.00000     -1.00000       0       3  2.28398e+09  2.31145e+09
aegis   14794   1.46170    9.07    0.06    -2.15     0.29   -2.14     4.76000e-17  6.55000e-18      574.000  7.62000e-18  5.93000e-18  2.18000e-17  3.64000e-18      417.000  1.45000e-17  4.54000e-18     -1.00000     -1.00000       0       4  3.27443e+09  3.48229e+09
aegis   14827   1.34270   10.05    1.05    -1.38     0.26   -1.48     2.27000e-16  1.88000e-17      317.000  5.59000e-17  1.78000e-17  1.72000e-16  1.14000e-17      296.000  3.52000e-17  9.87000e-18     -1.00000     -1.00000       0       3  1.79047e+10  1.89807e+10
aegis   15152   1.36580    8.74    0.21    -2.05     0.29   -2.01     9.42000e-17  1.46000e-17      390.000  4.57000e-17  1.34000e-17  2.60000e-17  7.19000e-18      477.000  1.15000e-17  7.16000e-18     -1.00000     -1.00000       0       3  4.13895e+09  4.27022e+09
aegis   15173   1.51630    8.84   -0.21    -1.91     0.40   -2.08     2.12000e-17  8.18000e-18      1070.00      0.00000  6.42000e-19  2.80000e-17  5.62000e-18     -765.000     -1.00000     -1.00000     -1.00000     -1.00000       0       4  1.66390e+09  1.64113e+09
aegis   15725   1.35390    9.35    0.42    -1.81     0.27   -1.77     3.91000e-17  1.38000e-17      162.000  2.86000e-17  1.28000e-17  3.46000e-17  7.32000e-18      292.000  5.14000e-18  6.26000e-18     -1.00000     -1.00000       0       3  5.65058e+09  6.02812e+09
aegis   15846   1.41430    9.91    1.35    -1.87     0.26   -1.61     4.08000e-16  2.15000e-17      161.000  1.67000e-16  2.21000e-17  3.38000e-16  1.54000e-17      464.000  1.16000e-16  1.37000e-17     -1.00000     -1.00000       0       4  5.26179e+10  5.51117e+10
aegis   16267   1.39650    9.14    0.24    -2.04     0.27   -2.13     7.59000e-17  9.03000e-18      226.000  1.77000e-17  8.14000e-18  4.27000e-17  4.57000e-18      317.000      0.00000  3.94000e-19     -1.00000     -1.00000       0       3  5.14707e+09  5.10403e+09
aegis   16468   1.35700   10.07    0.65    -1.91     0.27   -1.91     7.02000e-17  3.82000e-17      126.000  1.40000e-17  3.73000e-17  1.17000e-16  2.18000e-17      162.000  7.30000e-17  2.05000e-17     -1.00000     -1.00000       0       3  9.15731e+09  9.76979e+09
aegis   16513   1.46750    8.49    0.31    -2.37     0.27   -2.40     1.50000e-16  9.25000e-18      2440.00  2.23000e-17  8.33000e-18  5.23000e-17  5.16000e-18      1090.00      0.00000  6.00000e-19     -1.00000     -1.00000       0       4  6.31656e+09  6.56515e+09
aegis   16695   1.35700    9.56    0.51    -2.16     0.27   -1.76     8.80000e-17  2.17000e-17      229.000  2.10000e-17  1.90000e-17  4.35000e-17  1.15000e-17      138.000  1.92000e-17  1.07000e-17     -1.00000     -1.00000       0       3  8.77524e+09  9.64061e+09
aegis   16958   1.45080    9.31    0.97    -2.20     0.27   -1.92     8.90000e-17  1.62000e-17      307.000  5.33000e-17  1.86000e-17  6.56000e-17  1.11000e-17      320.000  1.77000e-17  1.58000e-17     -1.00000     -1.00000       0       4  1.11467e+10  1.22613e+10
aegis   16986   1.47060   10.37    1.03    -1.59     0.31   -1.11     2.80000e-17  1.20000e-17      116.000  2.61000e-17  1.37000e-17  4.43000e-17  8.34000e-18      145.000      0.00000  3.00000e-19     -1.00000     -1.00000       0       4  4.05079e+09  5.01846e+09
aegis   17044   1.35830    9.71    0.75    -1.96     0.26   -2.16     4.77000e-17  1.39000e-17      85.3000  4.82000e-17  1.32000e-17  1.30000e-16  9.34000e-18      205.000  3.51000e-17  7.68000e-18     -1.00000     -1.00000       0       3  1.68352e+10  1.72909e+10
aegis   17302   1.37070    9.73    0.85    -2.06     0.26   -1.77     1.39000e-16  1.12000e-17      256.000  7.36000e-17  1.24000e-17  1.18000e-16  6.57000e-18      337.000  1.10000e-17  5.50000e-18     -1.00000     -1.00000       0       3  1.95349e+10  2.32891e+10
aegis   17409   1.35180    9.51    0.69    -2.09     0.26   -2.24     7.14000e-17  1.81000e-17      144.000  7.16000e-18  1.64000e-17  4.48000e-17  1.07000e-17      121.000  2.68000e-17  1.02000e-17     -1.00000     -1.00000       0       3  1.52000e+10  1.57209e+10
aegis   17515   1.35810   10.83    1.72    -0.95     0.26   -1.11     2.26000e-17  3.97000e-17      7.27000      0.00000  1.25000e-18  4.05000e-16  3.30000e-17      157.000  1.04000e-16  2.94000e-17     -1.00000     -1.00000       0       3  2.93555e+10  2.90207e+10
