#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    fsiii_9069    esiii_9069    fsiii_9532    esiii_9532    AGN_flag    grism_flag
Par5   121   1.35660    9.04    0.94   -99.00   -99.00   -99.00     1.98000e-16  1.48492e-17      857.000  3.68000e-17  1.40007e-17  1.27000e-16  8.57013e-18      646.000  2.26000e-17  7.52362e-18  8.45000e-17  2.00818e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   131   0.98920    8.52    0.36   -99.00   -99.00   -99.00     2.29000e-16  2.48902e-17      383.000  3.29000e-17  2.14960e-17  1.02000e-16  1.64049e-17      285.000  3.79000e-17  1.42836e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   165   1.95090   10.41    1.28   -99.00   -99.00   -99.00     1.45000e-16  1.13915e-17      677.500  3.66000e-18  8.46407e-18     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  2.65000e-17  1.11680e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   178   0.88170    8.38    0.26   -99.00   -99.00   -99.00     5.12000e-17  1.89589e-17      223.000      0.00000  1.65162e-17  4.85500e-17  1.39918e-17      625.000  1.71000e-17  1.18303e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   184   1.34180    9.30    0.47   -99.00   -99.00   -99.00     8.13000e-17  1.59806e-17      2160.00  1.28500e-17  1.39233e-17  4.99000e-17  8.49942e-18      717.500  5.33500e-18  7.46705e-18  2.76000e-17  2.13546e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par6   12   0.43250    9.79    1.03   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  4.48000e-16  8.61256e-17      64.0000  1.72000e-16  7.38219e-17     -1.00000     -1.00000  2.55000e-17  1.90919e-17  6.33000e-17  4.73762e-17       0      3.00000
Par6   51   0.91830    9.37    0.84   -99.00   -99.00   -99.00     1.06000e-16  3.86080e-17      81.1000  3.95000e-17  3.69110e-17  1.08000e-16  2.90622e-17      82.5000  1.44500e-17  2.37588e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par6   73   1.26530    9.30    1.08   -99.00   -99.00   -99.00     8.27000e-17  1.87000e-17      151.000      0.00000  1.91615e-17  7.19000e-17  1.61941e-17      206.000  3.76000e-17  1.42215e-17      0.00000  6.08759e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par6   74   2.18990   10.10    1.43   -99.00   -99.00   -99.00     9.92000e-17  1.78191e-17      250.000  1.63000e-17  1.45664e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  5.96000e-17  2.24860e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par6   84   1.62870    9.45    0.85   -99.00   -99.00   -99.00     1.18000e-16  2.32639e-17      568.000  5.89500e-17  2.17083e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  4.52000e-17  2.53852e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par6   108   1.44590    9.18    0.74   -99.00   -99.00   -99.00     1.29000e-16  1.79605e-17      324.000  3.54000e-17  1.49907e-17  8.41000e-17  1.07339e-17      390.000      0.00000  1.59796e-17  3.88000e-17  2.36174e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par6   128   0.83800    8.45    0.18   -99.00   -99.00   -99.00     8.79000e-17  3.26683e-17      153.000      0.00000  2.83183e-17  9.10000e-17  2.14960e-17      276.000  3.23000e-17  1.72534e-17     -1.00000     -1.00000  1.82000e-17  1.81019e-17     -1.00000     -1.00000       0      3.00000
Par6   214   1.50700    8.36    0.40   -99.00   -99.00   -99.00     7.57000e-17  1.51321e-17      1480.00  1.55000e-17  1.18511e-17  2.31000e-17  9.41866e-18      1110.00      0.00000  2.78323e-17  2.48000e-17  1.72534e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par6   219   1.36610    8.21    0.18   -99.00   -99.00   -99.00     1.75000e-16  2.22032e-17      1400.00  8.23000e-18  2.09304e-17  7.41000e-17  1.24309e-17      1100.00  1.27000e-18  1.13137e-17  3.39000e-17  3.02642e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   5   0.39105   10.63    1.81   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.09500e-15  5.78413e-17      44.6500  3.51000e-16  5.55786e-17     -1.00000     -1.00000      0.00000  7.67787e-17      0.00000  6.86210e-17       0      3.00000
Par7   7   0.25310    9.66    0.82   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.98000e-15  3.42667e-16      114.000  2.52000e-16  2.68931e-16     -1.00000     -1.00000      0.00000  6.81411e-17      0.00000  5.32652e-17       0      3.00000
Par7   21   1.11010   11.07    2.73   -99.00   -99.00   -99.00     3.37000e-17  2.03647e-17      8.39000      0.00000  2.25529e-17  1.96000e-16  2.71529e-17      56.2000  6.14000e-17  2.14960e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   45   0.96815    9.90    1.67   -99.00   -99.00   -99.00     1.29000e-16  3.47196e-17      84.4000  4.44000e-17  3.33757e-17  2.28000e-16  5.22611e-17      185.000  9.63500e-17  4.89908e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   47   0.76225    9.86    1.31   -99.00   -99.00   -99.00     4.81000e-17  3.50725e-17      17.1500  2.96000e-17  3.94566e-17  2.55000e-16  3.40119e-17      183.000  6.81500e-17  2.81432e-17     -1.00000     -1.00000  3.74500e-17  1.48771e-17  9.66000e-17  2.04000e-17       0      3.00000
Par7   53   1.03750   11.15    1.37   -99.00   -99.00   -99.00     3.30500e-17  2.22740e-17      39.3000  5.86000e-17  1.43000e-17  7.92000e-17  2.27070e-17      50.9000  9.26500e-18  2.16379e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   54   0.79750    9.26    1.11   -99.00   -99.00   -99.00     2.71000e-16  4.52548e-17      99.7000  1.24000e-16  4.82247e-17  2.45000e-16  4.39820e-17      193.000  2.61000e-17  3.69110e-17     -1.00000     -1.00000  3.42000e-17  2.44659e-17     -1.00000     -1.00000       0      3.00000
